Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.718750,3.796875,3.718750,3.734375,1.649200,68000
1980-03-18,3.718750,3.718750,3.562500,3.578125,1.580195,132000
1980-03-19,3.593750,3.640625,3.593750,3.609375,1.593996,7200
1980-03-20,3.609375,3.609375,3.609375,3.609375,1.593996,800
1980-03-21,3.609375,3.640625,3.609375,3.609375,1.593996,40000
1980-03-24,3.609375,3.625000,3.531250,3.531250,1.559494,142400
1980-03-25,3.531250,3.531250,3.468750,3.468750,1.531892,11200
1980-03-26,3.453125,3.453125,3.421875,3.437500,1.518091,20000
1980-03-27,3.437500,3.468750,3.343750,3.375000,1.490490,31200
1980-03-28,3.437500,3.500000,3.437500,3.500000,1.545694,28800
1980-03-31,3.437500,3.437500,3.437500,3.437500,1.518091,24800
1980-04-01,3.437500,3.500000,3.437500,3.500000,1.545694,30400
1980-04-02,3.500000,3.500000,3.468750,3.468750,1.531892,9600
1980-04-03,3.468750,3.500000,3.453125,3.453125,1.524992,449600
1980-04-07,3.421875,3.421875,3.312500,3.312500,1.462888,544000
1980-04-08,3.312500,3.343750,3.265625,3.343750,1.476689,12800
1980-04-09,3.343750,3.437500,3.312500,3.312500,1.462888,56000
1980-04-10,3.343750,3.343750,3.343750,3.343750,1.476689,4000
1980-04-11,3.359375,3.406250,3.359375,3.359375,1.483589,16000
1980-04-14,3.375000,3.500000,3.375000,3.375000,1.490490,85600
1980-04-15,3.375000,3.421875,3.375000,3.390625,1.497391,38400
1980-04-16,3.390625,3.406250,3.281250,3.281250,1.449088,31200
1980-04-17,3.281250,3.281250,3.234375,3.250000,1.435287,48000
1980-04-18,3.250000,3.312500,3.250000,3.296875,1.455989,26400
1980-04-21,3.296875,3.359375,3.296875,3.359375,1.483589,10400
1980-04-22,3.359375,3.359375,3.312500,3.359375,1.483589,49600
1980-04-23,3.359375,3.453125,3.328125,3.375000,1.490490,163200
1980-04-24,3.375000,3.390625,3.359375,3.375000,1.490490,6400
1980-04-25,3.359375,3.359375,3.328125,3.359375,1.483589,9600
1980-04-28,3.359375,3.359375,3.328125,3.328125,1.469789,32800
1980-04-29,3.328125,3.390625,3.328125,3.375000,1.490490,81600
1980-04-30,3.375000,3.390625,3.328125,3.343750,1.476689,51200
1980-05-01,3.343750,3.359375,3.328125,3.328125,1.469789,20000
1980-05-02,3.328125,3.359375,3.328125,3.359375,1.483589,17600
1980-05-05,3.359375,3.375000,3.343750,3.359375,1.483589,19200
1980-05-06,3.359375,3.359375,3.328125,3.343750,1.476689,48800
1980-05-07,3.343750,3.406250,3.343750,3.406250,1.504291,37600
1980-05-08,3.406250,3.468750,3.406250,3.468750,1.531892,50400
1980-05-09,3.468750,3.500000,3.437500,3.500000,1.545694,34400
1980-05-12,3.500000,3.531250,3.468750,3.531250,1.559494,4800
1980-05-13,3.531250,3.546875,3.531250,3.546875,1.566395,128000
1980-05-14,3.562500,3.562500,3.562500,3.562500,1.573295,24800
1980-05-15,3.593750,3.671875,3.593750,3.656250,1.614697,42400
1980-05-16,3.656250,3.843750,3.656250,3.843750,1.697503,53600
1980-05-19,3.812500,3.812500,3.718750,3.750000,1.656101,9600
1980-05-20,3.750000,3.750000,3.640625,3.640625,1.607797,24000
1980-05-21,3.640625,3.687500,3.640625,3.656250,1.614697,19200
1980-05-22,3.625000,3.625000,3.593750,3.609375,1.593996,384000
1980-05-23,3.625000,3.718750,3.625000,3.687500,1.628499,167200
1980-05-27,3.687500,3.687500,3.687500,3.687500,1.628499,25600
1980-05-28,3.687500,3.718750,3.656250,3.718750,1.642300,52000
1980-05-29,3.718750,3.781250,3.687500,3.687500,1.628499,289600
1980-05-30,3.656250,3.656250,3.515625,3.546875,1.566395,37600
1980-06-02,3.531250,3.531250,3.515625,3.515625,1.552594,10400
1980-06-03,3.515625,3.562500,3.500000,3.500000,1.545694,48000
1980-06-04,3.500000,3.546875,3.500000,3.546875,1.566395,23200
1980-06-05,3.515625,3.515625,3.468750,3.468750,1.531892,16000
1980-06-06,3.468750,3.531250,3.343750,3.531250,1.559494,77600
